,name,rating,reviews,ctype,loc
1587,Kurlon,4.3,(684),Furniture & Furnishing,Bengaluru +88 other locations
1588,SG Analytics,2.5,(686),Analytics & KPO,Pune +12 other locations
1589,VRL Logistics,3.8,(684),Logistics,Bengaluru +119 other locations
1590,Orient Technologies,3.7,(683),IT Services & Consulting,Mumbai +50 other locations
1591,Orient Cement,4.4,(683),Building Material,Hyderabad +71 other locations
1592,BASF,4.2,(683),Chemicals,Mumbai +96 other locations
1593,Rane NSK Steering Systems,4.0,(683),Auto Components,Chennai +26 other locations
1594,Bayer Crop Science Vegetable Seeds,4.2,(683),Bengaluru +140 other locations,N/A
1595,Toppr,3.4,(682),EdTech,Mumbai +42 other locations
1596,Medtronic,3.9,(682),Medical Equipment,Hyderabad +46 other locations
1597,TVS Electronics,3.7,(682),Electronics Manufacturing,Chennai +72 other locations
1598,Testbook.com,3.3,(682),EdTech,Noida +30 other locations
1599,Doosan Power Systems,4.3,(681),Power,Gurugram +31 other locations
1600,Bridgestone - Global Capability Center,4.0,(681),Auto Components,Pune +61 other locations
1601,Doosan Power Systems,4.3,(681),Power,Gurugram +31 other locations
1602,Livpure,3.8,(681),Consumer Electronics & Appliances,Gurugram +82 other locations
1603,Office Beacon,4.6,(681),BPO,Vadodara +20 other locations
1604,Wissen Infotech,3.5,(680),IT Services & Consulting,Bengaluru +15 other locations
1605,Lionbridge Technologies,3.5,(679),Content Development,Mumbai +14 other locations
1606,CJ Darcl Logistics Limited,4.0,(678),Logistics,Gurugram +84 other locations
1607,Tejas Networks,3.8,(678),Hardware & Networking,Bengaluru +35 other locations
1608,Solv,3.5,(678),Internet,Bengaluru +142 other locations
1609,R.S. Infraprojects,4.0,(677),Engineering & Construction,Noida +99 other locations
1610,MPS Limited,3.5,(678),Content Development,Dehradun +24 other locations
1611,InternEzy,4.9,(676),EdTech,Chennai +6 other locations
1612,Mahindra Integrated Business Solutions,3.4,(676),BPO,Mumbai +87 other locations
1613,Dhanuka Agritech,3.7,(675),Agro Chemicals,Gurugram +110 other locations
1614,Quess IT Staffing Solutions,3.2,(674),Bengaluru +55 other locations,N/A
